n:334, states: 0.0000190.999981
n:335, states: 0.0000580.999942
n:336, states: 0.0000080.999992
n:337, states: 0.0000910.999909
n:338, states: 0.0001120.999888
n:339, states: 0.0158850.984115
n:340, states: 0.0093440.990656
n:341, states: 0.0000001.000000
n:343, states: 0.0000500.999950
n:344, states: 0.0000080.999992
n:345, states: 0.0000420.999958
n:346, states: 0.0000310.999969
n:347, states: 0.0000780.999922
n:348, states: 0.0000280.999972
n:349, states: 0.0004670.999533
n:350, states: 0.0000030.999997
n:351, states: 0.0004670.999533
n:352, states: 0.0000200.999980
n:353, states: 0.0000230.999977
n:354, states: 0.0000020.999998
n:355, states: 0.0000020.999998
n:356, states: 0.0003500.999650
n:357, states: 0.0000050.999995
n:358, states: 0.0000050.999995
n:359, states: 0.0000120.999988
n:360, states: 0.0000070.999993
n:361, states: 0.0000160.999984
n:362, states: 0.0000700.999930
n:363, states: 0.0000001.000000
n:364, states: 0.0000050.999995
n:365, states: 0.0158850.984115
n:366, states: 0.0000450.999955
n:367, states: 0.0012760.998724
n:369, states: 0.0000020.999998
n:370, states: 0.0000020.999998
n:371, states: 0.0000020.999998
n:372, states: 0.0015440.998456
n:373, states: 0.0000700.999930
n:374, states: 0.0013610.998639
n:375, states: 0.0000210.999979
n:376, states: 0.0001680.999832
n:378, states: 0.0000020.999998
n:379, states: 0.0000001.000000
n:380, states: 0.0013470.998653
n:381, states: 0.0000130.999987
n:382, states: 0.0004320.999568
n:383, states: 0.0000001.000000
n:384, states: 0.0186890.981311
n:385, states: 0.0000001.000000
n:387, states: 0.0000020.999998
n:388, states: 0.0384000.961600
n:389, states: 0.0000760.999924
n:390, states: 0.0000330.999967
n:391, states: 0.0000370.999963
n:392, states: 0.0004670.999533
n:393, states: 0.0000010.999999
n:394, states: 0.0020000.998000
n:395, states: 0.0000001.000000
n:396, states: 0.0005610.999439
n:397, states: 0.0295280.970472
n:398, states: 0.0000700.999930
n:399, states: 0.0000470.999953
n:400, states: 0.0000060.999994
n:401, states: 0.0000001.000000
n:402, states: 0.0000050.999995
n:403, states: 0.0000160.999984
n:404, states: 0.0000030.999997
n:405, states: 0.0000170.999983
n:406, states: 0.0000010.999999
n:407, states: 0.0000020.999998
n:408, states: 0.0000180.999982
n:409, states: 0.0001400.999860
n:411, states: 0.0000240.999976
n:413, states: 0.0093440.990656
